assembly	excluded	selectionGroup	source	taxid	name	group	subgroup	gcode	superkingdom	phylum	class	order	family	genus	species	taxostring	size	scaffolds	genes	refseq_category	assembly_level	biosample	bioproject	wgs	wgs_master	is_public	jgiid	ftp_path	shortName	prefix	genomeFile	proteomeFile	completeness	expected_result
GCA_002170075.1	0_included	Euryarchaeota	genbank	1986686	Euryarchaeota archaeon TMED141	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED141	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED141	23649100	64	2089	na	Contig	SAMN06971995	PRJNA385857	NHGQ01	NHGQ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/075/GCA_002170075.1_ASM217007v1	Euryarchaeota_archaeon_TMED141	oTD1ch	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED141/GCA_002170075.1_ASM217007v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED141/GCA_002170075.1_ASM217007v1_protein.faa	0.714285714285714	included
GCA_001800795.1	0_included	Euryarchaeota	genbank	1797982	Euryarchaeota archaeon RBG_16_68_13	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon RBG_16_68_13	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_16_68_13	15888200	51	1655	na	Scaffold	SAMN04316257	PRJNA288027	MGWB01	MGWB00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/800/795/GCA_001800795.1_ASM180079v1	Euryarchaeota_archaeon_RBG_16_68_13	oG66ha	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_68_13/GCA_001800795.1_ASM180079v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_RBG_16_68_13/GCA_001800795.1_ASM180079v1_protein.faa	0.732142857142857	included
GCA_001595885.1	0_included	Euryarchaeota	genbank	1803822	Euryarchaeota archaeon SG8-5	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon SG8-5	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon SG8-5	12472300	111	1182	na	Scaffold	SAMN04495912	PRJNA270657	LSSH01	LSSH00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/885/GCA_001595885.1_ASM159588v1	Euryarchaeota_archaeon_SG8_5	urc8yc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_SG8_5/GCA_001595885.1_ASM159588v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_SG8_5/GCA_001595885.1_ASM159588v1_protein.faa	0.732142857142857	included
GCA_001507935.1	0_included	Thermococci	genbank	1635283	Thermococcales archaeon 44_46	Euryarchaeota	Thermococci	11	Archaea	Euryarchaeota	Thermococci	Thermococcales	NA	NA	Thermococcales archaeon 44_46	Archaea;Euryarchaeota;Thermococci;Thermococcales;NA;NA;Thermococcales archaeon 44_46	16951200	272	1987	na	Contig	SAMN03445118	PRJNA278302	LGET01	LGET00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/507/935/GCA_001507935.1_ASM150793v1	Thermococcales_archaeon_44_46	Thae4c	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermococcales_archaeon_44_46/GCA_001507935.1_ASM150793v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermococcales_archaeon_44_46/GCA_001507935.1_ASM150793v1_protein.faa	0.75	included
GCA_002168805.1	0_included	Euryarchaeota	genbank	1986691	Euryarchaeota archaeon TMED248	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED248	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED248	11242700	50	985	na	Contig	SAMN06972102	PRJNA385857	NHKT01	NHKT00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/168/805/GCA_002168805.1_ASM216880v1	Euryarchaeota_archaeon_TMED248	aMD2rc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED248/GCA_002168805.1_ASM216880v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED248/GCA_002168805.1_ASM216880v1_protein.faa	0.75	included
GCA_002170935.1	0_included	Euryarchaeota	genbank	1986687	Euryarchaeota archaeon TMED164	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED164	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED164	12856100	55	1181	na	Contig	SAMN06972018	PRJNA385857	NHHN01	NHHN00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/935/GCA_002170935.1_ASM217093v1	Euryarchaeota_archaeon_TMED164	rMyaha	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED164/GCA_002170935.1_ASM217093v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED164/GCA_002170935.1_ASM217093v1_protein.faa	0.75	included
GCA_002169405.1	0_included	Euryarchaeota	genbank	1986693	Euryarchaeota archaeon TMED255	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED255	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED255	21644000	100	1933	na	Contig	SAMN06972109	PRJNA385857	NHLA01	NHLA00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/169/405/GCA_002169405.1_ASM216940v1	Euryarchaeota_archaeon_TMED255	rTD5he	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED255/GCA_002169405.1_ASM216940v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED255/GCA_002169405.1_ASM216940v1_protein.faa	0.75	included
GCA_001875445.1	0_included	Euryarchaeota	genbank	1889002	Marine Group III euryarchaeote CG-Bathy2	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine Group III euryarchaeote CG-Bathy2	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine Group III euryarchaeote CG-Bathy2	7737570	18	721	na	Contig	SAMN05509056	PRJNA335308	MIYT01	MIYT00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/445/GCA_001875445.1_ASM187544v1	Marine_Group_III_euryarchaeote_CG_Bathy_1	MarGrp	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Bathy_1/GCA_001875445.1_ASM187544v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Bathy_1/GCA_001875445.1_ASM187544v1_protein.faa	0.75	included
GCA_001629205.1	0_included	Euryarchaeota	genbank	1811655	Marine group II euryarchaeote REDSEA-S30_B12	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine group II euryarchaeote REDSEA-S30_B12	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine group II euryarchaeote REDSEA-S30_B12	12666300	137	-	na	Scaffold	SAMN04534676	PRJNA289734	LURV01	LURV00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/205/GCA_001629205.1_ASM162920v1	Marine_group_II_euryarchaeote_REDSEA_S3	pyrhEn	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S3/GCA_001629205.1_ASM162920v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S3/Marine_group_II_euryarchaeote_REDSEA_S3.faa	0.767857142857143	included
GCA_002170775.1	0_included	Euryarchaeota	genbank	1986689	Euryarchaeota archaeon TMED192	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED192	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED192	12673400	9	1108	na	Contig	SAMN06972046	PRJNA385857	NHIP01	NHIP00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/775/GCA_002170775.1_ASM217077v1	Euryarchaeota_archaeon_TMED192	otaroy	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED192/GCA_002170775.1_ASM217077v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED192/GCA_002170775.1_ASM217077v1_protein.faa	0.767857142857143	included
GCA_001875465.1	0_included	Euryarchaeota	genbank	1888996	Marine Group III euryarchaeote CG-Epi2	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine Group III euryarchaeote CG-Epi2	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine Group III euryarchaeote CG-Epi2	12242300	43	1190	na	Contig	SAMN05509050	PRJNA335308	MIYZ01	MIYZ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/465/GCA_001875465.1_ASM187546v1	Marine_Group_III_euryarchaeote_CG_Epi2	IrhGGr	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Epi2/GCA_001875465.1_ASM187546v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_Group_III_euryarchaeote_CG_Epi2/GCA_001875465.1_ASM187546v1_protein.faa	0.767857142857143	included
GCA_001602695.1	0_included	Euryarchaeota	genbank	1674803	Methanomicrobiales archaeon Methan_06	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	NA	Methanomicrobiales archaeon Methan_06	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;NA;NA;Methanomicrobiales archaeon Methan_06	16169100	427	-	na	Scaffold	SAMN03837488	PRJNA284316	LUYJ01	LUYJ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/695/GCA_001602695.1_ASM160269v1	Methanomicrobiales_archaeon_Methan_06	MetAra	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobiales_archaeon_Methan_06/GCA_001602695.1_ASM160269v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobiales_archaeon_Methan_06/Methanomicrobiales_archaeon_Methan_06.faa	0.785714285714286	included
GCA_002168385.1	0_included	Euryarchaeota	genbank	1986694	Euryarchaeota archaeon TMED279	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon TMED279	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon TMED279	9973320	50	885	na	Contig	SAMN06972133	PRJNA385857	NHLY01	NHLY00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/168/385/GCA_002168385.1_ASM216838v1	Euryarchaeota_archaeon_TMED279	cTM2ch	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED279/GCA_002168385.1_ASM216838v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_TMED279/GCA_002168385.1_ASM216838v1_protein.faa	0.785714285714286	included
GCA_001628475.1	0_included	Euryarchaeota	genbank	1811652	Marine group II euryarchaeote REDSEA-S19_B7N8	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine group II euryarchaeote REDSEA-S19_B7N8	Archaea;Euryarchaeota;NA;NA;NA;NA;Marine group II euryarchaeote REDSEA-S19_B7N8	11716900	155	-	na	Contig	SAMN04534673	PRJNA289734	LURS01	LURS00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/475/GCA_001628475.1_ASM162847v1	Marine_group_II_euryarchaeote_REDSEA_S1_2	MeeEru	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S1_2/GCA_001628475.1_ASM162847v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Marine_group_II_euryarchaeote_REDSEA_S1_2/Marine_group_II_euryarchaeote_REDSEA_S1_2.faa	0.785714285714286	included
GCA_001766825.1	0_included	Euryarchaeota	genbank	1839936	Candidatus Syntrophoarchaeum butanivorans BOX1	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	Candidatus Syntrophoarchaeum	Candidatus Syntrophoarchaeum butanivorans	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;Candidatus Syntrophoarchaeum;Candidatus Syntrophoarchaeum butanivorans	14569600	16	1640	na	Scaffold	SAMN04871411	PRJNA318983	LYOR01	LYOR00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/766/825/GCA_001766825.1_ASM176682v1	Ca_Syntrophoarchaeum_butanivorans_BOX1	SynBut	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Syntrophoarchaeum_butanivorans_BOX1/GCA_001766825.1_ASM176682v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Syntrophoarchaeum_butanivorans_BOX1/GCA_001766825.1_ASM176682v1_protein.faa	0.803571428571429	included
